order_id,transaction_type,conduct_type,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,penalty_rationale,legal_issue_summary,outcome_summary,transaction_value,delay_duration_days,date_of_closing,date_of_notification,closed_before_approval,control_exercised_before_approval,information_rights_exercised,penalty_reduced,intelligence_source_page,intelligence_source_text,intelligence_issues
CCI-1308,Acquisition,Delayed notification,The inadvertent error which led to the delayed filing was a bona fide mistake that occurred at Meritor’s behest,Delayed notification,,,"mitigating factors submitted by Cummins, the Commission considers it appropriate to impose a penalty of INR 10,00,000 (INR Ten lakh) on Cummins.",,"the case, etc. 21. Considering the case in toto, and the mitigating factors submitted by Cummins, the Commission considers it appropriate to impose a penalty of INR 10,00,000 (INR Ten lakh) on Cummins. Cummins shall pay the penalty within 60 days from the date of receipt of this order. 22. It is made clear that nothing con",Proceedings against Cummins Inc,"the case, etc. 21. Considering the case in toto, and the mitigating factors submitted by Cummins, the Commission considers it appropriate to impose a penalty of INR 10,00,000 (INR Ten lakh) on Cummins. Cummins shall pay the penalty within 60 days from the date of receipt of this order. 22. It is made clear that nothing con",,,,,,,,Yes,3,"or prior to closing might have been incorrect. The revised figures showed that Meritor’s turnover in India exceeded the De Minimis Exemption turnover threshold. The inadvertent error which led to the delayed filing was a bona fide mistake that occurred at Meritor’s behest. During the hearing, it was clarified that certain figure related to India was inadvertently assigned to some other country. It has been subm",
CCI-1307,Share Subscription,Failure to notify,"Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of such a combination",Failure to notify,,Full,"mitigating factors submitted by Axis Bank, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on Axis Bank.",,"facts and circumstances of the case in toto, including mitigating factors submitted by Axis Bank, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on Axis Bank. Axis Bank shall pay the penalty within 60 days from the date of receipt of this order. 31. It is made clear that","Proceedings against Axis Bank Limited under Section 43A of the Competition Act, 2002 CORAM: Ms","facts and circumstances of the case in toto, including mitigating factors submitted by Axis Bank, the Commission considers it appropriate to impose a penalty of INR 40,00,000 (INR Forty Lakh only) on Axis Bank. Axis Bank shall pay the penalty within 60 days from the date of receipt of this order. 31. It is made clear that",,,,,,,,,6,"ikely to cause an appreciable adverse effect on competition in India, notice under Section 6(2) of the Act need not normally be filed. Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of",
CCI-1306,Amalgamation,Failure to notify,"The Commission Page 8 of 8 concludes that de minimis exemption was not available to the Transaction and thus, MassMutual failed to give notice to the Commission in terms of Section 6(2) of the Act",Failure to notify,,,,,"ver is higher. Considering the circumstances of the instant matter and the conduct of MassMutual, the Commission considers it appropriate to impose a penalty of INR 5,00,000 (Indian Rupees Five Lakh only) on MassMutual, which is directed to pay the penalty within 60 days from the date of receipt of this order. 21. The Sec","Proceedings under Section 43A of the Competition Act, 2002 against Massachusetts Mutual Life Insurance Company CORAM: Ms","ver is higher. Considering the circumstances of the instant matter and the conduct of MassMutual, the Commission considers it appropriate to impose a penalty of INR 5,00,000 (Indian Rupees Five Lakh only) on MassMutual, which is directed to pay the penalty within 60 days from the date of receipt of this order. 21. The Sec",,,,,,,,,8,"iled to account for the presence of the Invesco Mutual Fund business in India. The Commission Page 8 of 8 concludes that de minimis exemption was not available to the Transaction and thus, MassMutual failed to give notice to the Commission in terms of Section 6(2) of the Act. 20. Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the C",
CCI-1293,Amalgamation,Multiple / mixed conduct,"B, by consummating the Combination without filing a notice with the Commission in terms of Section 6(2) of the Act, has contravened the provisions of Section 6(2A) of the Act and hence, is liable for penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub- section (2) of section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one percent, of the total turnover or the assets, whichever is higher, of such a combination” 19",Pre-closing consummation; Delayed notification,,Full,"mitigating factors, they do not absolve B.",,"indings of contravention. 21. Thus, considering the facts and circumstances of the case and the conduct of B.O.B, the Commission decides to imposes a penalty of INR 5,00,000/- (Rupees Five Lakh only) on B.O.B. The B.O.B, shall pay the penalty within 60 days from the date of receipt of this order. 22. The Secretary is dire","Proceedings against Bank of Baroda under Section 43A of the Competition Act, 2002 CORAM: Ms","indings of contravention. 21. Thus, considering the facts and circumstances of the case and the conduct of B.O.B, the Commission decides to imposes a penalty of INR 5,00,000/- (Rupees Five Lakh only) on B.O.B. The B.O.B, shall pay the penalty within 60 days from the date of receipt of this order. 22. The Secretary is dire",,,,,Yes,,,Yes,6,"red mitigating factors, they do not absolve B.O.B of its obligation to file a notice prior to the consummation of the Combination. 18. Thus, in light of the above, the Commission finds that B.O.B, by consummating the Combination without filing a notice with the Commission in terms of Section 6(2) of the Act, has contravened the provisions of Section 6(2A) of the Act and hence, is liable for penalty under Section 43A of the Act, whic",
CCI-1234,Share Purchase,Failure to notify,"Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of such a combination",Failure to notify,Yes,,,,"which is false in any material particular, or knowing it to be false. 36. Considering the facts and circumstances of the case, the Commission considers it appropriate to impose a penalty of Rs. 5,00,000 (INR Five Lakh) under Section 43A of the Act, and of INR 50,00,000 (INR Fifty Lakh) under Section 44 of the Act, on the Acquirers. The Acquirers shall be jointly and severally liable to pay the","Proceedings against Platinum Jasmine A 2018 Trust, acting through its trustee Platinum Owl C 2018 RSC Limited, and TPG Upswing Ltd","which is false in any material particular, or knowing it to be false. 36. Considering the facts and circumstances of the case, the Commission considers it appropriate to impose a penalty of Rs. 5,00,000 (INR Five Lakh) under Section 43A of the Act, and of INR 50,00,000 (INR Fifty Lakh) under Section 44 of the Act, on the Acquirers. The Acquirers shall be jointly and severally liable to pay the",,,,,,,,,8,"ion shall be void ab initio and the Commission shall deal with the combination in accordance with the provisions contained in the Act. Section 43A of the Act provides that if any person or enterprise fails to give notice to the Commission under Section 6(2) of the Act, the Commission shall impose on such person or enterprise a penalty which may extend to 1% of the total turnover or the assets, whichever is higher, of",
CCI-1215,Amalgamation,Pre-closing consummation,"Thus, based on the analysis of the response of the Acquirers, the Commission is of the opinion that, in consummating the Combination without the approval of the Commission, the Acquirers have failed to file a notice for the Combination in accordance with Section 6(2) of the Act, which reads as under: “Subject to the provisions contained in sub-section (1), any person or enterprise, who or which proposes to enter into a combination, [shall] give notice to the Commission, in the form as may be specified, and the fee which may be determined, by regulations, disclosing the details of the proposed combination, within [thirty days] of— (a) approval of the proposal relating to merger or amalgamation, referred to in clause (c) of section 5, by the board of directors of the enterprises concerned with such merger or amalgamation, as the case may be; (b) execution of any agreement or other document for acquisition referred to in clause (a) of section 5 or acquiring of control referred to in clause (b) of that section",Pre-closing consummation,,,mitigating factors as well as the aggravating factors.,aggravating factors.,"considered the mitigating factors as well as the aggravating factors. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 20,00,000 (Indian Rupees Twenty lakh only) on the Acquirers. The Acquirers are directed to pay the penalty within 60 days from the date of receipt of this orde","Proceedings against PI Opportunities Fund – I and Pioneer Investment Fund under Section 43A of the Competition Act, 2002 CORAM: Mr","considered the mitigating factors as well as the aggravating factors. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 20,00,000 (Indian Rupees Twenty lakh only) on the Acquirers. The Acquirers are directed to pay the penalty within 60 days from the date of receipt of this orde",,,,,Yes,,,No,15,"these other issues are not relevant and no determinative finding is required for the same. 46. Thus, based on the analysis of the response of the Acquirers, the Commission is of the opinion that, in consummating the Combination without the approval of the Commission, the Acquirers have failed to file a notice for the Combination in accordance with Section 6(2) of the Act, which reads as under: “Subject to the provisions contained i",
CCI-1216,Amalgamation,Pre-closing consummation,"Thus, based on the analysis of the response of Trian, the Commission is of the opinion that, in consummating the Transaction without approval of the Commission, Trian has failed to file a notice for the Transaction in accordance with Section 6(2) of the Act, which reads as under: Page 18 of 19 “Subject to the provisions contained in sub-section (1), any person or enterprise, who or which proposes to enter into a combination, [shall] give notice to the Commission, in the form as may be specified, and the fee which may be determined, by regulations, disclosing the details of the proposed combination, within [thirty days] of— (a) approval of the proposal relating to merger or amalgamation, referred to in clause (c) of section 5, by the board of directors of the enterprises concerned with such merger or amalgamation, as the case may be; (b) execution of any agreement or other document for acquisition referred to in clause (a) of section 5 or acquiring of control referred to in clause (b) of that section",Pre-closing consummation,,,mitigating factors as well as the aggravating factors.,aggravating factors.,"considered the mitigating factors as well as the aggravating factors. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 20,00,000 (Indian Page 19 of 19 Rupees Twenty lakh only) on the Acquirers. The Acquirers are directed to pay the penalty within 60 days from the date of receip","Proceedings against Trian Partners AM Holdco, Ltd","considered the mitigating factors as well as the aggravating factors. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 20,00,000 (Indian Page 19 of 19 Rupees Twenty lakh only) on the Acquirers. The Acquirers are directed to pay the penalty within 60 days from the date of receip",,,,,Yes,,,No,18,"itions on the Board, which allowed Trian to participate in the management or affairs of the Target. 52. Thus, based on the analysis of the response of Trian, the Commission is of the opinion that, in consummating the Transaction without approval of the Commission, Trian has failed to file a notice for the Transaction in accordance with Section 6(2) of the Act, which reads as under: Page 18 of 19 “Subject to the provisions contained",
CCI-1202,Acquisition,Failure to notify,"In this regard, the Commission notes that the instant proceedings are not limited to the inquiry under Section 20(1) of the Act but also under Section 43A of the Act to ascertain whether the parties have failed to give notice to the Commission in terms of Section 6(2) of the Act, in respect of the Acquisition",Failure to notify,,Partial,,,"nd has thus, saved regulatory resources. Keeping these in mind as well as the submissions of GIP, the Commission considers it appropriate to impose a penalty of INR 30,00,000 (Indian Rupees Thirty Lakh) on GIP under Section 43A of the Act. It is ordered accordingly. GIP shall pay the penalty within 60 days from the date of","Proceedings against Global Infrastructure Partners India Private Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","nd has thus, saved regulatory resources. Keeping these in mind as well as the submissions of GIP, the Commission considers it appropriate to impose a penalty of INR 30,00,000 (Indian Rupees Thirty Lakh) on GIP under Section 43A of the Act. It is ordered accordingly. GIP shall pay the penalty within 60 days from the date of",,,,,,,,,2,"his regard, the Commission notes that the instant proceedings are not limited to the inquiry under Section 20(1) of the Act but also under Section 43A of the Act to ascertain whether the parties have failed to give notice to the Commission in terms of Section 6(2) of the Act, in respect of the Acquisition. The Commission further notes that the period of limitation contained in Section 20(1) of the Act is not applicabl",
CCI-1194,Amalgamation,Pre-closing consummation,"In this regard, it submitted that it did not give effect to or consummate the Combination prior to the Commission’s approval order dated 2nd September 2020 and adhered to the standstill obligations, which are substantively reflected in the structure of the Combination and the Escrow and Control Agreement",Pre-closing consummation,,,mitigating factors: (a) that there was no mala fide intention to evade compliance of the provisions of the Act; (b) parties had voluntarily given notice under Section 6(2) of the Competition Act; and (c) parties had co-operated with the Commission.,,"Competition Act; and (c) parties had co-operated with the Commission. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 5,00,000 (Indian Rupees Five Lakh only) on the Acquirer, as a fine for violation of standstill obligations without filing of notice under Section 6(2) of the",Proceedings against SABIC International Holdings B,"Competition Act; and (c) parties had co-operated with the Commission. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 5,00,000 (Indian Rupees Five Lakh only) on the Acquirer, as a fine for violation of standstill obligations without filing of notice under Section 6(2) of the",,,,,Yes,,,No,5,"ction 6(2A) of the Competition Act; and (ii) not give effect to or consummate the Combination until receiving the Commission’s approval. In this regard, it submitted that it did not give effect to or consummate the Combination prior to the Commission’s approval order dated 2nd September 2020 and adhered to the standstill obligations, which are substantively reflected in the structure of the Combination and the Escrow and Control Ag",
CCI-1193,Amalgamation,Failure to notify,"” Accordingly, the First Acquisition attracts a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub section (2) of section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one percent of the total turnover or the assets, whichever is higher, of such a combination",Failure to notify,,,,aggravating factor.,"ted the combination, which may be considered as an aggravating factor. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 40,00,000 (Indian Rupees Forty Lakh only) on the Acquirer. The Acquirer is directed to pay the penalty within sixty days from the date of receipt of this order",Proceedings against SABIC International Holdings B,"ted the combination, which may be considered as an aggravating factor. In view of the foregoing, the Commission considered it appropriate to impose a penalty of INR 40,00,000 (Indian Rupees Forty Lakh only) on the Acquirer. The Acquirer is directed to pay the penalty within sixty days from the date of receipt of this order",,,,,,,,No,14,"n has passed orders under section 31, whichever is earlier.” Accordingly, the First Acquisition attracts a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub section (2) of section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one percent of the total turnover or the assets, whichever",
CCI-1147,Joint Venture,Failure to notify,"Moreover, Suez has failed to demonstrate any prejudice/injury caused to Suez or competition in India by Veolia‟s alleged failure to notify the acquisition of the Engie Block Transaction",Failure to notify,,Full,mitigating factors and impose no penalty on Veolia.,,"the proposed combination. 43. Thus, considering the facts and circumstances of the case and the conduct of Veolia, the Commission decides to impose a penalty of INR 1,00,00,000/- (Rupees One Crore Only) on Veolia. Veolia shall pay the penalty within 60 days from the date of receipt of this order. 44. Further, it is made clea",Proceedings against Veolia Environnement S,"the proposed combination. 43. Thus, considering the facts and circumstances of the case and the conduct of Veolia, the Commission decides to impose a penalty of INR 1,00,00,000/- (Rupees One Crore Only) on Veolia. Veolia shall pay the penalty within 60 days from the date of receipt of this order. 44. Further, it is made clea",,,,,,,,Yes,11,"fferent segments of the overall market for waste management services in India. Moreover, Suez has failed to demonstrate any prejudice/injury caused to Suez or competition in India by Veolia‟s alleged failure to notify the acquisition of the Engie Block Transaction. 27. Further, Veolia submitted that competition regulators in other jurisdictions, such as Europe or Canada, where Suez had claimed similar gun-jumping",
